Security Code,Issuer Name,Symbol,Security Name
500135,EPL LIMITED,EPL,EPL Ltd,,,,,
500136,Ester Industries Ltd.,ESTER,Ester Industries Ltd,,,,,
500142,FGP Ltd,FGP,FGP Ltd,,,,,
500143,P.H. Capital Ltd.,PHCAP,PH Capital Ltd,,,,,
500144,Finolex Cables Ltd.,FINCABLES,Finolex Cables Ltd,,,,,
500147,JOHN COCKERILL INDIA LIMITED,COCKERILL,John Cockerill India Ltd,,,,,
500148,Uflex Limited,UFLEX,Uflex Ltd,,,,,
500150,Foseco India Ltd,FOSECOIND,Foseco India Ltd,,,,,
500151,Golden Tobacco Ltd.,GOLDENTOBC,Golden Tobacco Ltd,,,,,
500153,Ganesh Benzoplast Ltd.,GANESHBE,Ganesh Benzoplast Ltd,,,,,
500159,Metroglobal Limited,METROGLOBL,Metroglobal Ltd,,,,,
500160,GTL Ltd,GTL,GTL Ltd,,,,,
500163,Godfrey Phillips India Ltd.,GODFRYPHLP,Godfrey Phillips India Ltd,,,,,
500164,Godrej Industries Ltd.,GODREJIND,Godrej Industries Ltd,,,,,
500165,Kansai Nerolac Paints,KANSAINER,Kansai Nerolac Paints Ltd,,,,,
500166,Goodricke Group Ltd.,GOODRICKE,Goodricke Group Ltd,,,,,
500168,Goodyear India Ltd.,GOODYEAR,Goodyear India Ltd,,,,,
500170,GTN Industries Limited,GTNINDS,GTN Industries Ltd,,,,,
500171,GHCL Ltd.,GHCL,GHCL Ltd,,,,,
500173,GFL LIMITED,GFLLIMITED,GFL Ltd,,,,,
500174,Gujarat Lease Financing Limited,GLFL,Gujarat Lease Financing Ltd,,,,,
500178,Harig Crankshafts Ltd.,HARCR,Harig Crankshafts Ltd,,,,,
500179,HCL Infosystems Ltd,HCL-INSYS,HCL Infosystems Ltd,,,,,
500180,HDFC Bank Ltd.,HDFCBANK,HDFC Bank Ltd,,,,,
500182,Hero MotoCorp Limited,HEROMOTOCO,Hero MotoCorp Ltd,,,,,
500183,HFCL LIMITED,HFCL,HFCL Ltd,,,,,
500184,Himadri Speciality Chemical Ltd.,HSCL,Himadri Speciality Chemical Ltd,,,,,
500185,Hindustan Construction Co. Ltd.,HCC,Hindustan Construction Company Ltd,,,,,
500186,Hindustan Oil Exploration Co. Ltd.,HINDOILEXP,Hindustan Oil Exploration Company Ltd,,,,,
500187,AGI GREENPAC LIMITED,AGI,Agi Greenpac Ltd,,,,,
500188,Hindustan Zinc Ltd.,HINDZINC,Hindustan Zinc Ltd,,,,,
500189,NDL Ventures Limited,NDLVENTURE,NDL Ventures Ltd,,,,,
500191,HMT Limited,HMT,HMT Ltd,,,,,
500192,Prag Bosimi Synthetics Ltd.,PRAGBOS,Prag Bosimi Synthetics Ltd,,,,,
500193,HLV LIMITED,HLVLTD,HLV Ltd,,,,,
500199,IG Petrochemicals Ltd,IGPL,IG Petrochemicals Ltd,,,,,
500201,India Glycols Ltd,INDIAGLYCO,India Glycols Ltd,,,,,
500202,India Lease Devl. Ltd.,INDLEASE,India Lease Development Ltd,,,,,
500206,Margo Finance Limited,MARGOFIN,Margo Finance Ltd,,,,,
500207,Indo Rama Synthetics (India) Ltd.,INDORAMA,Indo Rama Synthetics (India) Ltd,,,,,
500209,Infosys Ltd,INFY,Infosys Ltd,,,,,
500210,Ingersoll-Rand (India) Ltd.,INGERRAND,Ingersoll-Rand (India) Ltd,,,,,
500213,International Travel House Ltd,ITHL,International Travel House Ltd,,,,,
500214,Ion Exchange (India) Ltd,IONEXCHANG,Ion Exchange India Ltd,,,,,
500215,SUNDROP BRANDS LIMITED,SUNDROP,Sundrop Brands Ltd,,,,,
500219,Jain Irrigation Systems Ltd.,JISLJALEQS,Jain Irrigation Systems Ltd,,,,,
500220,Jasch Industries Ltd.,JASCH,Jasch Industries Ltd,,,,,
500227,Jindal Poly Films Ltd.,JINDALPOLY,Jindal Poly Films Ltd,,,,,
500228,JSW Steel Limited,JSWSTEEL,JSW Steel Ltd,,,,,
500233,Kajaria Ceramics Ltd,KAJARIACER,Kajaria Ceramics Ltd,,,,,
500234,Kakatiya Cement Sugar & Industries Ltd.,KAKATCEM,Kakatiya Cement Sugar & Industries Ltd,,,,,
500235,Kalyani Steels Ltd,KSL,Kalyani Steels Ltd,,,,,
500238,Whirlpool of India Ltd,WHIRLPOOL,Whirlpool of India Ltd,,,,,
500239,K.G.Denim Ltd,KGDENIM,KG Denim Ltd,,,,,
500240,Kinetic Engineering Ltd.,KINETICENG,Kinetic Engineering Ltd,,,,,
500241,Kirloskar Brothers Ltd.,KIRLOSBROS,Kirloskar Brothers Ltd,,,,,
500243,Kirloskar Industries Ltd,KIRLOSIND,Kirloskar Industries Ltd,,,,,
500245,Kirloskar Ferrous Industries Ltd.,KIRLFER,Kirloskar Ferrous Industries Ltd,,,,,
500246,Envair Electrodyne Ltd.,ENVAIREL,Envair Electrodyne Ltd,,,,,
500247,Kotak Mahindra Bank Ltd.,KOTAKBANK,Kotak Mahindra Bank Ltd,,,,,
500248,KRISHNA FILAMENT INDUSTRIES LIMITED,KRIFILIND,Krishna Filament Industries Ltd,,,,,
500249,KSB LIMITED,KSB,KSB Ltd,,,,,
500250,L.g.Balkrishnan & Bros. Ltd.,LGBBROSLTD,LG Balakrishnan & Bros Ltd,,,,,
500251,Trent Ltd [Lakme Ltd],TRENT,Trent Ltd,,,,,
500252,LMW Limited,LMW,LMW Ltd,,,,,
500253,Lic Housing Finance Ltd.,LICHSGFIN,LIC Housing Finance Ltd,,,,,
500257,Lupin Ltd,LUPIN,Lupin Ltd,,,,,
500259,Lyka Labs Ltd.,LYKALABS,Lyka Labs Ltd,,,,,
500260,The Ramco Cements Limited,RAMCOCEM,The Ramco Cements Ltd,,,,,
500262,HYBRID FINANCIAL SERVICES LIMITED,HYBRIDFIN,Hybrid Financial Services Ltd,,,,,
500264,Mafatlal Industries Ltd.,MAFATIND,Mafatlal Industries Ltd,,,,,
500265,Maharashtra Seamless Ltd.,MAHSEAMLES,Maharashtra Seamless Ltd,,,,,
500266,Maharashtra Scooters Ltd.,MAHSCOOTER,Maharashtra Scooters Ltd,,,,,
500267,Majestic Auto Ltd.,MAJESAUT,Majestic Auto Ltd,,,,,
500268,Manali Petrochemicals Ltd.,MANALIPETC,Manali Petrochemicals Ltd,,,,,
500270,Baroda Rayon Corpn. Ltd.,BARODARY,Baroda Rayon Corporation Ltd,,,,,
500271,Max Financial Services Limited,MFSL,Max Financial Services Ltd,,,,,
500277,Mid India Industries Limited,MIDINDIA,Mid India Industries Ltd,,,,,
500279,ONIDA ELECTRONICS LIMITED,ONIDA,Onida Electronics Ltd,,,,,
500280,Century Enka Ltd.,CENTENKA,Century Enka Ltd,,,,,
500282,Modern Thread (India) Ltd.,MODTHREAD,Modern Thread India Ltd,,,,,
500284,Lords Chloro Alkali Ltd,LORDSCHLO,Lords Chloro Alkali Ltd,,,,,
500285,SpiceJet Limited,SPICEJET,Spicejet Ltd,,,,,
500288,Morepen Laboratories Ltd.,MOREPENLAB,Morepen Laboratories Ltd,,,,,
500290,M.R.F. Ltd.,MRF,MRF Ltd,,,,,
500292,HeidelbergCement  India Limited,HEIDELBERG,HeidelbergCement India Ltd,,,,,
500294,NCC Limited,NCC,NCC Ltd,,,,,
500295,Vedanta Limited,VEDL,Vedanta Ltd,,,,,
500296,Nahar Spinning Mills Ltd.,NAHARSPING,Nahar Spinning Mills Ltd,,,,,
500298,Naperol Investments Limited,NAPEROL,Naperol Investments Ltd,,,,,
500300,Grasim Industries Ltd,GRASIM,Grasim Industries Ltd,,,,,
500304,NIIT Ltd.,NIITLTD,NIIT Ltd,,,,,
500306,Jaykay Enterprises Limited,JAYKAY,Jaykay Enterprises Ltd,,,,,
500307,Nirlon Limited,NIRLON,Nirlon Ltd,,,,,
500312,Oil And Natural Gas Corporation Ltd,ONGC,Oil and Natural Gas Corporation Ltd,,,,,
500313,Oil Country Tubular Ltd.,OILCOUNTUB,Oil Country Tubular Ltd,,,,,
500314,Oriental Hotels Ltd.,ORIENTHOT,Oriental Hotels Ltd,,,,,
500317,Oswal Agro Mills Ltd.,OSWALAGRO,Oswal Agro Mills Ltd,,,,,
500319,Indian Sucrose Ltd.,INDSUCR,Indian Sucrose Ltd,,,,,
500322,Panyam Cements & Mineral Inds. Ltd.,PANCM,Panyam Cements & Mineral Industries Ltd,,,,,
500325,Reliance Industries Ltd,RELIANCE,Reliance Industries Ltd,,,,,
500327,Pil Italica Lifestyle Limited,PILITA,Pil Italica Lifestyle Ltd,,,,,
500330,Raymond Limited,RAYMOND,Raymond Ltd,,,,,
500331,Pidilite Industries Ltd.,PIDILITIND,Pidilite Industries Ltd,,,,,
500333,Pix Transmissions Ltd.,PIXTRANS,Pix Transmissions Ltd,,,,,
500335,Birla Corporation Ltd.,BIRLACORPN,Birla Corporation Ltd,,,,,
500336,Surya Roshni Ltd.,SURYAROSNI,Surya Roshni Ltd,,,,,
500337,Prime Securities Ltd.,PRIMESECU,Prime Securities Ltd,,,,,
500338,PRISM JOHNSON LIMITED.,PRSMJOHNSN,Prism Johnson Ltd,,,,,
500339,Rain Industries Limited,RAIN,Rain Industries Ltd,,,,,
500342,Prudential Sugar Corporation Ltd,PRUDMOULI,Prudential Sugar Corporation Ltd,,,,,
500343,AMJ LAND HOLDINGS LIMITED,AMJLAND,AMJ Land Holdings Ltd,,,,,
500346,Punjab Communications Limited,PUNJCOMMU,Punjab Communications Ltd,,,,,
500350,RSWM Limited,RSWM,RSWM Ltd,,,,,
500354,Rajshree Sugars & Chemicals Ltd.,RAJSREESUG,Rajshree Sugars & Chemicals Ltd,,,,,
500355,Rallis India Ltd,RALLIS,Rallis India Ltd,,,,,
500356,Shree Rama Newsprint Limited,RAMANEWS,Shree Rama Newsprint Ltd,,,,,
500357,Rama Paper Mills Limited,RAMAPPR-B,Rama Paper Mills Ltd,,,,,
500360,Rapicut Carbides Ltd.,RAPICUT,Rapicut Carbides Ltd,,,,,
500365,WELSPUN SPECIALTY SOLUTIONS LIMITED,WELSPLSOL,Welspun Specialty Solutions Ltd,,,,,
500367,Rubfila International Ltd.,RUBFILA,Rubfila International Ltd,,,,,
500368,Patanjali Foods Limited,PATANJALI,Patanjali Foods Ltd,,,,,
500370,Salora International Limited,SALORAINTL,Salora International Ltd,,,,,
500371,Samtel (India) Ltd.,SAMTELIN,Samtel India Ltd,,,,,
500378,Jindal Saw Ltd.,JINDALSAW,Jindal Saw Ltd,,,,,
500380,JK Lakshmi Cement Limited,JKLAKSHMI,JK Lakshmi Cement Ltd,,,,,
500387,Shree Cements Ltd.,SHREECEM,Shree Cement Ltd,,,,,
500388,Shree Krishna Paper Mills & Industr,SKPMIL,Shree Krishna Paper Mills & Industries Ltd,,,,,
500400,Tata Power Co. Ltd,TATAPOWER,Tata Power Company Ltd,,,,,
500402,SPML Infra Limited,SPMLINFRA,SPML Infra Ltd,,,,,
500403,Sundram Fasteners Ltd.,SUNDRMFAST,Sundram Fasteners Ltd,,,,,
500404,Sunflag Iron & Steel Co. Ltd.,SUNFLAG,Sunflag Iron & Steel Company Ltd,,,,,
500405,Supreme Petrochem Ltd.,SPLPETRO,Supreme Petrochem Ltd,,,,,
500407,Swaraj Engines Ltd.,SWARAJENG,Swaraj Engines Ltd,,,,,
500408,Tata Elxsi Ltd,TATAELXSI,Tata Elxsi Ltd,,,,,
500410,ACC Ltd,ACC,ACC Ltd,,,,,
500411,Thermax Ltd.,THERMAX,Thermax Ltd,,,,,
500412,Thirumalai Chemicals Ltd.,TIRUMALCHM,Thirumalai Chemicals Ltd,,,,,
500413,Thomas Cook (India) Ltd.,THOMASCOOK,Thomas Cook (India) Ltd,,,,,
500414,Timex Group India Ltd,TIMEX,Timex Group India Ltd,,,,,
500418,Tokyo Plast International Ltd.,TOKYOPLAST,Tokyo Plast International Ltd,,,,,
500420,Torrent Pharmaceuticals Ltd.,TORNTPHARM,Torrent Pharmaceuticals Ltd,,,,,
500421,TPI India Ltd.,TPINDIA,TPI India Ltd,,,,,
500422,Transchem Limited.,TRANSCHEM,Transchem Ltd,,,,,
500425,Ambuja Cements Ltd.,AMBUJACEM,Ambuja Cements Ltd,,,,,
500426,UTL Industries Limited,UTLINDS,UTL Industries Ltd,,,,,
500429,Uniphos Enterprises Limited.,UNIENTER,Uniphos Enterprises Ltd,,,,,
500439,Vardhman Holdings Limited,VHL,Vardhman Holdings Ltd,,,,,
500440,Hindalco Industries Ltd.,HINDALCO,Hindalco Industries Ltd,,,,,
500444,West Coast Paper Mills Limited,WSTCSTPAPR,West Coast Paper Mills Ltd,,,,,
500449,Hindustan Organic Chemicals Ltd.,HOCL,Hindustan Organic Chemicals Ltd,,,,,
500450,MPIL CORPORATION LIMITED,MPILCORPL,MPIL Corporation Ltd,,,,,
500456,Pasupati Acrylon Ltd.,PASUPTAC,Pasupati Acrylon Ltd,,,,,
500458,TEAM24 CONSUMER PRODUCTS LIMITED,TEAM24,Team24 Consumer Products Ltd,,,,,
500459,Procter & Gamble Hygiene & Health Care Ltd.,PGHH,Procter & Gamble Hygiene and Health Care Ltd,,,,,
500460,Mukand Ltd.,MUKANDLTD,Mukand Ltd,,,,,
500463,BLACK BOX LIMITED,BBOX,Black Box Ltd,,,,,
500464,UCAL LIMITED,UCAL,Ucal  Ltd,,,,,
500467,Harrisons Malayalam Ltd.,HARRMALAYA,Harrisons Malayalam Ltd,,,,,
500469,Federal Bank Ltd.,FEDERALBNK,Federal Bank Ltd,,,,,
500470,TATA STEEL LIMITED,TATASTEEL,Tata Steel Ltd,,,,,
500472,SKF India Ltd.,SKFINDIA,SKF India Ltd,,,,,
500477,Ashok Leyland Ltd.,ASHOKLEY,Ashok Leyland Ltd,,,,,
500480,Cummins India Ltd.,CUMMINSIND,Cummins India Ltd,,,,,
500483,Tata Communications Limited,TATACOMM,Tata Communications Ltd,,,,,
500488,Abbott India Ltd.,ABBOTINDIA,Abbott India Ltd,,,,,
500490,Bajaj Holdings & Investment Limited,BAJAJHLDNG,Bajaj Holdings & Investment Ltd,,,,,
500493,Bharat Forge Ltd,BHARATFORG,Bharat Forge Ltd,,,,,
500495,Escorts Kubota Limited,ESCORTS,Escorts Kubota Ltd,,,,,
500500,Hindustan Motors Ltd.,HINDMOTORS,Hindustan Motors Ltd,,,,,
500510,Larsen & Toubro Limited,LT,Larsen & Toubro Ltd,,,,,
500520,Mahindra & Mahindra Ltd.,M&M,Mahindra & Mahindra Ltd,,,,,
500530,Bosch Ltd,BOSCHLTD,Bosch Ltd,,,,,
500540,Premier Limited,PREMIER,Premier Ltd,,,,,
500547,Bharat Petroleum Corpn. Ltd.,BPCL,Bharat Petroleum Corporation Ltd,,,,,
500550,Siemens Ltd.,SIEMENS,Siemens Ltd,,,,,
500570,TATA MOTORS PASSENGER VEHICLES LIMITED,TMPV,Tata Motors Passenger Vehicles Ltd,,,,,
500575,Voltas Ltd.,VOLTAS,Voltas Ltd,,,,,
500620,Great Eastern Shipping Co. Ltd.,GESHIP,Great Eastern Shipping Company Ltd,,,,,
500645,Deepak Fertilizers &Petrochemicals,DEEPAKFERT,Deepak Fertilisers & Petrochemicals Corporation Ltd,,,,,
500650,Excell Industries Ltd.,EXCELINDUS,Excel Industries Ltd,,,,,
500655,GARWARE HI-TECH FILMS LIMITED,GRWRHITECH,Garware Hi-Tech Films Ltd,,,,,
500660,GlaxoSmithkline Pharmaceuticals Ltd.,GLAXO,GlaxoSmithKline Pharmaceuticals Ltd,,,,,
500670,Gujarat Narmada Valley Fert.Co.Ltd,GNFC,Gujarat Narmada Valley Fertilizers & Chemicals Ltd,,,,,
500672,Novartis India Limited.,NOVARTIND,Novartis India Ltd,,,,,
500674,Sanofi India Ltd,SANOFI,Sanofi India Ltd,,,,,
500680,Pfizer Ltd.,PFIZER,Pfizer Ltd,,,,,
500690,Gujarat State Fertilizers & Chem.Ltd,GSFC,Gujarat State Fertilizers & Chemicals Ltd,,,,,
500696,Hindustan Unilever Ltd.,HINDUNILVR,Hindustan Unilever Ltd,,,,,
500710,JSW Dulux Limited,JSWDULUX,JSW Dulux Ltd,,,,,
500730,NOCIL Ltd,NOCIL,NOCIL Ltd,,,,,
500770,Tata Chemicals Ltd,TATACHEM,Tata Chemicals Ltd,,,,,
500777,Tamilnadu Petroproducts Ltd,TNPETRO,Tamilnadu Petroproducts Ltd,,,,,
500780,Zuari Industries Limited,ZUARIIND,Zuari Industries Ltd,,,,,
500790,Nestle India Ltd.,NESTLEIND,Nestle India Ltd,,,,,
500800,TATA CONSUMER PRODUCTS LIMITED,TATACONSUM,Tata Consumer Products Ltd,,,,,
500820,Asian Paints Ltd.,ASIANPAINT,Asian Paints Ltd,,,,,
500825,Britannia Industries Ltd.,BRITANNIA,Britannia Industries Ltd,,,,,
500830,Colgate-Palmolive (India) Ltd.,COLPAL,Colgate Palmolive (India) Ltd,,,,,
500840,EIH Ltd,EIHOTEL,EIH Ltd,,,,,
500850,Indian Hotels Co. Ltd,INDHOTEL,Indian Hotels Company Ltd,,,,,
500870,Castrol India Ltd,CASTROLIND,Castrol India Ltd,,,,,
500875,ITC Ltd,ITC,ITC Ltd,,,,,
500877,Apollo Tyres Ltd,APOLLOTYRE,Apollo Tyres Ltd,,,,,
500878,Ceat Ltd.,CEATLTD,Ceat Ltd,,,,,
500890,Modi Rubber Ltd.,MODIRUBBER,Modi Rubber Ltd,,,,,
500940,Finolex Industries Ltd.,FINPIPE,Finolex Industries Ltd,,,,,
501110,Sunrise Industrial Traders Ltd.,SUNRINV,Sunrise Industrial Traders Ltd,,,,,
501111,Gold Rock Investments Ltd.,ZGOLDINV,Gold Rock Investments Ltd,,,,,
501148,Dalal Street Investments Ltd.,DSINVEST,Dalal Street Investments Ltd,,,,,
501150,Centrum Capital Limited,CENTRUM,Centrum Capital Ltd,,,,,
501151,Kartik Investments Trust Ltd.,KARTKIN,Kartik Investments Trust Ltd,,,,,
501242,TCI Finance Limited,TCIFINANCE,TCI Finance Ltd,,,,,
501270,ANTARIKSH INDUSTRIES LIMITED,ANTARIKSH,Antariksh Industries Ltd,,,,,
501295,Industrial Investment Trust Ltd.,IITL,Industrial Investment Trust Ltd,,,,,
501298,Industrial & Prudential Inv. Co. Lt,INDPRUD,Industrial & Prudential Investment Company Ltd,,,,,
501301,Tata Investment Corporation Ltd.,TATAINVEST,Tata Investment Corporation Ltd,,,,,
501311,Jayabharat Credit Ltd.,JAYBHCR,Jayabharat Credit Ltd,,,,,
501314,PRISMX GLOBAL VENTURES LIMITED,PRISMX,Prismx Global Ventures Ltd,,,,,
501343,Motor & General Finance (M.G.F.) Lt,MOTOGENFIN,Motor & General Finance Ltd,,,,,
501351,Rapid Investments Ltd.,RAPIDIN,Rapid Investments Ltd,,,,,
501370,Walchand Peoplefirst Limited,WALCHPF,Walchand Peoplefirst Ltd,,,,,
501386,E and E ENTERPRISES LIMITED,EENTER,E & E Enterprises Ltd,,,,,
501391,W.H. Brady & Co. Ltd.,WHBRADY,WH Brady & Company Ltd,,,,,
501421,TechNVision Ventures Limited,TECHNVISN,TechNVision Ventures Ltd,,,,,
501423,Shaily Engineering Plastics Ltd.,SHAILY,Shaily Engineering Plastics Ltd,,,,,
501425,The Bombay Burmah Trading Corporation Ltd.,BBTC,The Bombay Burmah Trading Corporation Ltd,,,,,
501430,Bombay Cycle & Motor Agency Ltd.,BOMBCYC,Bombay Cycle & Motor Agency Ltd,,,,,
501455,Greaves Cotton Ltd.,GREAVESCOT,Greaves Cotton Ltd,,,,,
501477,Muller & Phipps (India) Ltd.,MULLER,Muller & Phipps India Ltd,,,,,
501479,SPRINGFORM TECHNOLOGY LIMITED,SFTL,Springform Technology Ltd,,,,,
501622,Amalgamated Electricity Co. Ltd.,AMALGAM,Amalgamated Electricity Company Ltd,,,,,
501630,Anand Projects Ltd,ANANDPROJ,Anand Projects Ltd,,,,,
501700,India Nivesh Limited,INDIANVSH,IndiaNivesh Ltd,,,,,
501831,Coastal Corporation Limited,COASTCORP,Coastal Corporation Ltd,,,,,
501833,Chowgule Steamships Ltd.,CHOWGULSTM,Chowgule Steamships Ltd,,,,,
501848,GARWARE OFFSHORE SERVICES LIMITED,GARWAOFFS,Garware Offshore Services Ltd,,,,,
501945,Dhenu Buildcon Infra Limited,DHENUBUILD,Dhenu Buildcon Infra Ltd,,,,,
502015,ASI INDUSTRIES LIMITED,ASIIL,ASI Industries Ltd,,,,,
502090,Sagar Cements Ltd,SAGCEM,Sagar Cements Ltd,,,,,
502137,Deccan Cements Ltd.,DECCANCE,Deccan Cements Ltd,,,,,
502157,Mangalam Cement Ltd.,MANGLMCEM,Mangalam Cement Ltd,,,,,
502168,NCL Industries Limited,NCLIND,NCL Industries Ltd,,,,,
502175,Saurashtra Cement Limited,SAURASHCEM,Saurashtra Cement Ltd,,,,,
502180,Shree Digvijay Cement Co. Ltd.,SHREDIGCEM,Shree Digvijay Cement Company Ltd,,,,,
502219,BOROSIL RENEWABLES LIMITED,BORORENEW,Borosil Renewables Ltd,,,,,
502250,LERTHAI FINANCE LIMITED,LERTHAI,Lerthai Finance Ltd,,,,,
502281,Triveni Glass Ltd.,TRIVENIGQ,Triveni Glass Ltd,,,,,
502294,Nilachal Refractories Ltd.,NILACHAL,Nilachal Refractories Ltd,,,,,
502330,ANDHRA PAPER LIMITED,ANDHRAPAP,Andhra Paper Ltd,,,,,
502355,Balkrishna Industries Ltd.,BALKRISIND,Balkrishna Industries Ltd,,,,,
502420,Orient Paper & Industries Ltd.,ORIENTPPR,Orient Paper & Industries Ltd,,,,,
502445,Citadel Realty And Developers Limited,CITADEL,Citadel Realty and Developers Ltd,,,,,
502448,Rollatainters Ltd.,ROLLT,Rollatainers Ltd,,,,,
502450,Seshasayee Paper & Boards Ltd.,SESHAPAPER,Seshasayee Paper and Boards Ltd,,,,,
502587,NATH INDUSTRIES LIMITED,NATHIND,Nath Industries Ltd,,,,,
502589,VAPI ENTERPRISE LIMITED,VAPIENTER,Vapi Enterprise Ltd,,,,,
502820,DCM Ltd.,DCM,DCM Ltd,,,,,
502850,Gaekwar Mills Ltd.,ZGAEKWAR,Gaekwar Mills Ltd ,,,,,
502865,Forbes & Company Ltd,FORBESCO,Forbes & Company Ltd,,,,,
